date,temperature,window_open,ac_setting,season,day_of_year
2023-01-01,1.5,0,20.7,Winter,1
2023-01-02,-0.4,0,21.4,Winter,2
2023-01-03,2.0,0,23.9,Winter,3
2023-01-04,4.6,0,23.1,Winter,4
2023-01-05,-0.6,0,21.1,Winter,5
2023-01-06,-0.6,0,22.3,Winter,6
2023-01-07,4.8,0,21.6,Winter,7
2023-01-08,2.4,0,22.0,Winter,8
2023-01-09,-1.2,0,21.4,Winter,9
2023-01-10,1.8,0,21.1,Winter,10
2023-01-11,-1.1,0,22.7,Winter,11
2023-01-12,-1.1,0,23.1,Winter,12
2023-01-13,1.1,0,23.5,Winter,13
2023-01-14,-5.3,0,20.6,Winter,14
2023-01-15,-4.7,0,23.3,Winter,15
2023-01-16,-1.1,0,21.0,Winter,16
2023-01-17,-2.4,0,21.7,Winter,17
2023-01-18,1.7,0,23.6,Winter,18
2023-01-19,-1.9,0,21.8,Winter,19
2023-01-20,-3.4,0,20.8,Winter,20
2023-01-21,5.4,0,20.6,Winter,21
2023-01-22,0.4,0,21.9,Winter,22
2023-01-23,1.4,0,23.1,Winter,23
2023-01-24,-3.0,0,24.0,Winter,24
2023-01-25,-0.3,0,23.1,Winter,25
2023-01-26,1.8,0,23.5,Winter,26
2023-01-27,-1.9,0,23.0,Winter,27
2023-01-28,2.8,0,23.6,Winter,28
2023-01-29,0.0,0,20.3,Winter,29
2023-01-30,1.1,0,23.7,Winter,30
2023-01-31,0.3,0,21.6,Winter,31
2023-02-01,7.8,0,23.7,Winter,32
2023-02-02,2.3,0,20.3,Winter,33
2023-02-03,-0.7,0,22.9,Winter,34
2023-02-04,5.1,0,22.9,Winter,35
2023-02-05,-0.9,0,24.0,Winter,36
2023-02-06,3.6,0,23.1,Winter,37
2023-02-07,-2.8,0,21.5,Winter,38
2023-02-08,-0.7,0,22.2,Winter,39
2023-02-09,4.0,0,21.5,Winter,40
2023-02-10,5.8,0,20.8,Winter,41
2023-02-11,4.3,0,21.0,Winter,42
2023-02-12,3.6,0,20.9,Winter,43
