day_of_year,hours_of_use,daily_use,sensor_type_strong,sensor_type_medium,sensor_type_weak,ac_type_central,ac_type_split,ac_type_window,ac_type_portable,maintenance_needed
103,14,5,False,True,False,False,False,False,True,0
5,15,11,False,True,False,False,False,True,False,1
13,22,7,True,False,False,False,False,False,True,1
30,4,12,True,False,False,False,False,False,True,1
260,12,9,False,True,False,False,False,True,False,1
211,14,3,False,False,True,True,False,False,False,1
304,13,3,True,False,False,False,False,True,False,1
264,18,7,False,True,False,False,False,False,True,1
70,2,12,False,False,True,False,True,False,False,0
108,12,12,False,True,False,False,True,False,False,1
278,10,9,True,False,False,False,False,True,False,1
286,14,10,False,False,True,True,False,False,False,1
149,4,10,False,False,True,True,False,False,False,1
276,23,5,False,True,False,True,False,False,False,0
337,5,9,False,False,True,False,False,True,False,0
30,8,4,False,False,True,False,False,True,False,0
300,13,7,False,False,True,False,True,False,False,0
270,1,8,False,True,False,False,False,True,False,0
207,3,6,True,False,False,True,False,False,False,0
151,6,7,False,True,False,False,True,False,False,1
86,23,10,False,True,False,True,False,False,False,0
56,17,5,False,False,True,False,True,False,False,1
166,3,4,True,False,False,False,False,True,False,1
180,10,4,True,False,False,True,False,False,False,0
165,12,10,False,False,True,False,False,False,True,0
205,23,4,False,True,False,False,False,False,True,1
343,2,7,False,False,True,False,True,False,False,1
73,19,7,False,True,False,False,False,True,False,0
105,7,11,False,True,False,False,False,True,False,1
251,0,7,False,False,True,False,False,False,True,1
28,22,9,True,False,False,False,False,True,False,1
2,2,11,False,True,False,False,False,False,True,1
293,10,12,True,False,False,True,False,False,False,0
311,16,5,False,True,False,False,True,False,False,1
314,23,9,False,True,False,True,False,False,False,1
73,1,2,False,False,True,False,False,False,True,1
3,20,9,False,False,True,False,False,False,True,0
362,10,1,False,True,False,False,False,True,False,0
8,19,4,False,False,True,False,False,False,True,1
106,7,4,False,False,True,False,False,False,True,0
127,23,3,False,False,True,True,False,False,False,1
188,22,8,True,False,False,True,False,False,False,1
65,4,7,False,True,False,False,False,True,False,0
2,20,12,True,False,False,False,False,False,True,0
25,22,3,False,False,True,False,True,False,False,1
303,11,9,False,True,False,False,False,True,False,1
145,23,8,True,False,False,True,False,False,False,0
117,14,7,False,True,False,False,True,False,False,0
198,5,2,True,False,False,False,False,True,False,0
272,18,6,True,False,False,True,False,False,False,0
146,13,5,False,False,True,False,True,False,False,1
83,9,4,True,False,False,False,True,False,False,0
323,5,8,False,True,False,False,False,False,True,1
69,12,5,False,True,False,True,False,False,False,0
206,17,9,False,False,True,True,False,False,False,0
182,6,4,False,False,True,True,False,False,False,1
208,1,3,False,False,True,True,False,False,False,0
96,4,7,False,True,False,False,False,True,False,1
242,12,9,False,False,True,True,False,False,False,1
363,12,4,False,False,True,True,False,False,False,0
330,8,7,False,True,False,False,False,True,False,1
191,12,10,False,True,False,False,False,False,True,1
240,16,6,True,False,False,False,True,False,False,1
100,21,8,True,False,False,False,False,True,False,0
233,0,4,False,True,False,False,False,True,False,0
236,14,4,True,False,False,False,False,False,True,1
42,7,9,False,True,False,False,True,False,False,0
301,18,12,False,True,False,False,True,False,False,1
64,15,2,False,True,False,False,False,True,False,1
282,4,2,False,True,False,False,False,True,False,0
330,0,2,False,True,False,False,True,False,False,0
231,12,3,True,False,False,False,False,False,True,1
